# Hytale Item IDs — 2026-07-04T23:10:15.528252121Z
# Format: id | maxStack | hasBlock | consumable
# Gesamt: 3690 Items (Vanilla + alle geladenen Plugins)

*Container_Bucket_State_Filled_Milk | maxStack=1 | hasBlock=true | consumable=true
*Container_Bucket_State_Filled_Mosshorn_Milk | maxStack=1 | hasBlock=true | consumable=true
*Container_Bucket_State_Filled_Water | maxStack=1 | hasBlock=true | consumable=true
*Deco_Bucket_State_Filled_Milk | maxStack=1 | hasBlock=true | consumable=true
*Deco_Bucket_State_Filled_Mosshorn_Milk | maxStack=1 | hasBlock=true | consumable=true
*Deco_Bucket_State_Filled_Water | maxStack=1 | hasBlock=true | consumable=true
*Deco_Mug_State_Filled_Water | maxStack=1 | hasBlock=true | consumable=true
*Deco_Tankard_State_Filled_Water | maxStack=1 | hasBlock=true | consumable=true
*Fish_Bluegill_Item_State_Epic | maxStack=100 | hasBlock=false | consumable=false
*Fish_Bluegill_Item_State_Legendary | maxStack=100 | hasBlock=false | consumable=false
*Fish_Bluegill_Item_State_Rare | maxStack=100 | hasBlock=false | consumable=false
*Fish_Bluegill_Item_State_Uncommon | maxStack=100 | hasBlock=false | consumable=false
*Fish_Catfish_Item_State_Epic | maxStack=100 | hasBlock=false | consumable=false
*Fish_Catfish_Item_State_Legendary | maxStack=100 | hasBlock=false | consumable=false
*Fish_Catfish_Item_State_Rare | maxStack=100 | hasBlock=false | consumable=false
*Fish_Catfish_Item_State_Uncommon | maxStack=100 | hasBlock=false | consumable=false
*Fish_Clownfish_Item_State_Epic | maxStack=100 | hasBlock=false | consumable=false
*Fish_Clownfish_Item_State_Legendary | maxStack=100 | hasBlock=false | consumable=false
*Fish_Jellyfish_Blue_Item_State_Legendary | maxStack=100 | hasBlock=false | consumable=false
*Fish_Jellyfish_Cyan_Item_State_Legendary | maxStack=100 | hasBlock=false | consumable=false
*Fish_Jellyfish_Green_Item_State_Legendary | maxStack=100 | hasBlock=false | consumable=false
*Fish_Jellyfish_Red_Item_State_Legendary | maxStack=100 | hasBlock=false | consumable=false
*Fish_Jellyfish_Yellow_Item_State_Legendary | maxStack=100 | hasBlock=false | consumable=false
*Fish_Minnow_Item_State_Epic | maxStack=100 | hasBlock=false | consumable=false
*Fish_Minnow_Item_State_Legendary | maxStack=100 | hasBlock=false | consumable=false
*Fish_Minnow_Item_State_Rare | maxStack=100 | hasBlock=false | consumable=false
*Fish_Minnow_Item_State_Uncommon | maxStack=100 | hasBlock=false | consumable=false
*Fish_Pufferfish_Item_State_Epic | maxStack=100 | hasBlock=false | consumable=false
*Fish_Pufferfish_Item_State_Legendary | maxStack=100 | hasBlock=false | consumable=false
*Fish_Salmon_Item_State_Epic | maxStack=100 | hasBlock=false | consumable=false
*Fish_Salmon_Item_State_Legendary | maxStack=100 | hasBlock=false | consumable=false
*Fish_Tang_Blue_Item_State_Epic | maxStack=100 | hasBlock=false | consumable=false
*Fish_Tang_Blue_Item_State_Legendary | maxStack=100 | hasBlock=false | consumable=false
*Fish_Tang_Blue_Item_State_Rare | maxStack=100 | hasBlock=false | consumable=false
*Fish_Tang_Chevron_Item_State_Epic | maxStack=100 | hasBlock=false | consumable=false
*Fish_Tang_Chevron_Item_State_Legendary | maxStack=100 | hasBlock=false | consumable=false
*Fish_Tang_Chevron_Item_State_Rare | maxStack=100 | hasBlock=false | consumable=false
*Fish_Tang_Lemon_Peel_Item_State_Epic | maxStack=100 | hasBlock=false | consumable=false
*Fish_Tang_Lemon_Peel_Item_State_Legendary | maxStack=100 | hasBlock=false | consumable=false
*Fish_Tang_Lemon_Peel_Item_State_Rare | maxStack=100 | hasBlock=false | consumable=false
